id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
tower-token,328,TOWER,TOWER,1762347176.2511063000000000,,3850750.1086684323019780,115794.3572535451540675,0.0021850122158449,-10.2056708287887880,0.0023512614440051,https://etherscan.io/token/0x1c9922314ed1415c95b9fd453c3818fd41867d0b
oax,329,OAX,OAX,77034446.4861706500000000,100000000.0000000000000000,3820895.2658058366194097,2552348.2258810054269664,0.0495998276107789,-28.7633347736500324,0.0605328644736632,https://etherscan.io/token/0x701c244b988a513c945973defa05de933b23fe1d
ferrum-network,330,FRM,Ferrum Network,287009850.5623820000000000,,3727031.7373831484405617,217424.8729877314077370,0.0129857275981302,-15.5308427601500062,0.0139325347468546,https://etherscan.io/token/0xe5caef4af8780e59df925470b050fb23c43ca68c
nest-protocol,331,NEST,NEST Protocol,2911743948.0000000000000000,,3708273.1482913690622280,306190.7918036908005787,0.0012735574331110,-4.4784651959922327,0.0014231474053301,https://etherscan.io/token/0x04abeda201850ac0124161f037efd70c74ddc74c
multivac,332,MTV,MultiVAC,3587369426.4026860000000000,,3555886.7108585556710492,118789.7638218702175845,0.0009912240107438,-4.2758163713710917,0.0010101321345322,https://etherscan.io/token/0x6226e00bCAc68b0Fe55583B90A1d727C14fAB77f
zkswap,333,ZKB,ZKBase,197440000.0000000000000000,600000000.0000000000000000,3319765.8641200455040000,455664.1220983866961843,0.0168140491497166,-0.4841192657363010,0.0170118918118961,https://etherscan.io/token/0xe4815ae53b124e7263f08dcdbbb757d41ed658c6
strike,334,STRK,Strike,5393497.8517890000000000,6540888.0000000000000000,3174457.5938679115378821,18361801.5771291120755452,0.5885712168801472,-21.5690582899828064,0.6815965201438606,https://etherscan.io/token/0x74232704659ef37c08995e386a2e26cc27a8d7b1
polkamarkets,335,POLK,Polkamarkets,89625265.0167241400000000,100000000.0000000000000000,2356117.9643122340334876,114532.1501736231318591,0.0262885466935309,-14.7957068035284781,0.0293284625429777,https://etherscan.io/token/0xd478161c952357f05f0292b56012cd8457f1cfbf
small-love-potion,336,SLP,Small Love Potion,541173609.0000000000000000,,2346278.8459443133700772,50179973.3936501618160629,0.0043355381839108,-19.2615643992573986,0.0053657145661074,https://etherscan.io/token/0x37236cd05b34cc79d3715af2383e96dd7443dcf1
the-force-protocol,337,FOR,ForTube,795000000.0000000000000000,1000000000.0000000000000000,2187992.0975625960000000,384643.9806754005180060,0.0027521913176888,-3.8918298033951602,0.0029186204857442,https://etherscan.io/token/0x1fcdce58959f536621d76f5b7ffb955baa5a672f
v-systems,338,VSYS,v.systems,3283626102.0000000000000000,,2162621.1034115061561690,203520.0540232523277884,0.0006586075991095,-16.3710450862308602,0.0007319446187100,https://explorer.v.systems/
mirror-protocol,339,MIR,Mirror Protocol,77742679.9324930000000000,,2138126.0393639021250575,155203.0016271105875196,0.0275026027044671,-18.2277746102408951,0.0303471569759548,https://etherscan.io/token/0x09a3EcAFa817268f77BE1283176B946C4ff2E608
roobee,340,ROOBEE,ROOBEE,4102063740.0000000000000000,,1980199.8706481759982060,130674.4703334982352231,0.0004827325941669,-7.4536884722136051,0.0004967285780234,https://etherscan.io/token/0xa31b1767e09f842ecfd4bc471fe44f830e3891aa
crowns,341,CWS,Seascape Crowns,4852051.9604260000000000,,1717941.4480577775922155,343329.0694034823392661,0.3540649321296522,-9.0498201905037960,0.3855272908650881,https://etherscan.io/token/0xac0104cca91d167873b8601d2e71eb3d4d8c33e0
julswap,342,JULD,JulSwap,592166808.0000000000000000,,1626406.2591669571411440,138893.0838140088429728,0.0027465339785930,-9.9998229452678303,0.0029111287362472,https://bscscan.com/token/0x5a41f637c3f7553dba6ddc2d3ca92641096577ea
dfyn-network,343,DFYN,Dfyn Network,171878614.9681000000000000,250000000.0000000000000000,1507757.7944488324526362,171293.0095793750954442,0.0087722244837071,-2.7230131898435940,0.0088625225833905,https://etherscan.io/token/0x9695e0114e12c0d3a3636fab5a18e6b737529023
monsta-infinite,344,MONI,Monsta Infinite,173566535.0257651000000000,270000000.0000000000000000,1438777.9809024534162762,159450.3269662682952050,0.0082894895648454,-18.4751253674221888,0.0093614607814929,https://bscscan.com/token/0x9573c88ae3e37508f87649f87c4dd5373c9f31e0
alpaca-finance,345,ALPACA,Alpaca Finance,6618686.0000000000000000,188000000.0000000000000000,1276643.3825595577868924,8780642.8897236864603633,0.1928847179877634,-24.8295466164897759,0.2065156775806171,https://bscscan.com/token/0x8f0528ce5ef7b51152a59745befdd91d97091d2f
pax-gold,346,PAXG,PAX Gold,440.9645688000000000,,1171434.1912166395929730,13326721.9602106938346524,2656.5267917204135993,0.8241068496465904,2653.7174785191002379,https://etherscan.io/token/0x45804880de22913dafe09f4980848ece6ecbaf78
crust,347,CRU,Crust,1745183.2796072300000000,,994333.2569763219325413,497867.4013654430527734,0.5697586428859816,-18.0815123919455350,0.6150520458535577,https://etherscan.io/token/0x32a7c02e79c4ea1008dd6564b35f131428673c41
maps,348,MAPS,MAPS,45496728.2336690000000000,,916790.2399927175536085,133846.1108313503427744,0.0201506850181430,-2.4942019416844883,0.0204252846481970,https://etherscan.io/token/0x2b915b505c017abb1547aa5ab355fbe69865cc6d
oddz,349,ODDZ,Oddz,98999988.0000000000000000,100000000.0000000000000000,878524.4401533582647052,202258.6888280910513716,0.0088739853196079,-7.6596595728971291,0.0094877657183721,https://etherscan.io/token/0xCd2828fc4D8E8a0eDe91bB38CF64B1a81De65Bf6
